longitude,latitude,Occ
11.465997,3.408617,1
30.733569,-30.325451,1
39.088538,-5.2302,1
13.257167,2.672,1
13.257167,2.672,1
15.721478,-4.299611,1
23.521203,-19.912097,1
35.219233,-16.074014,1
25.0517,-20.441192,1
38.064339,-7.665663,1
-9.3215,6.4032,1
10.18428,-0.677163,1
101.34,0.58,1
22.258019,-19.124253,1
23.524522,-19.792397,1
12.075441,3.154826,1
22.647034,-19.669072,1
31.73,-0.63,1
32.11,-0.23,1
33.74,0.61,1
39.58,-4.16,1
32.11,-0.23,1
39.58,-4.16,1
12.075231,3.154883,1
9.465919,0.653088,1
40.11792,-3.197248,1
22.973307,-19.310671,1
22.889885,-18.97882,1
-13.226568,8.446233,1
22.890253,-18.978616,1
23.498394,-19.912286,1
35.892307,-18.496316,1
-13.292291,9.575413,1
-9.258989,6.52013,1
22.941527,-18.982925,1
11.227648,4.75158,1
3.947039,7.377535,1
1.09,8.97,1
0.6,6.96,1
1.09,8.97,1
1.24,9.28,1
1.24,9.28,1
1.24,9.28,1
1.09,8.97,1
1.089167,8.968267,1
0.6007,6.956467,1
1.089167,8.968267,1
1.089167,8.968267,1
0.6007,6.956467,1
1.235833,9.28295,1
1.089167,8.968267,1
1.235833,9.28295,1
1.089167,8.968267,1
1.235833,9.28295,1
22,-3,1
5.145128403,7.181811246,1
5.194286573,7.171285531,1
5.131411623,7.268859091,1
-0.986864584,5.900505588,1
-1.030686591,5.890845187,1
-0.72260985,5.504185897,1
-0.752112423,5.271969353,1
-0.50625536,5.376543348,1
-0.660777181,5.843568255,1
-0.661640935,6.197824496,1
7.064134448,6.165105363,1
6.918440537,6.169180734,1
7.028726035,6.093365633,1
7.217917075,5.950159333,1
7.248493,5.983881024,1
7.233625215,6.054523272,1
7.51453234,6.101943849,1
7.507259956,6.056610959,1
7.48373251,6.118556844,1
7.525172704,6.144454334,1
7.363448059,6.148123791,1
6.846201694,6.048426413,1
6.824823043,6.072588624,1
6.809606361,6.057794158,1
6.819085188,6.016008545,1
6.842592923,6.105496879,1
6.871911861,6.067665337,1
39.46857615,-4.263704657,1
39.50436095,-4.232419781,1
39.53200682,-4.287327373,1
39.48939311,-4.391537195,1
39.6113738,-4.169544148,1
39.59808363,-4.121364303,1
39.6053298,-4.113177099,1
39.37102965,-4.572794545,1
39.39274803,-4.636329837,1
39.38253754,-4.640956892,1
39.55774079,-4.184455814,1
39.56704389,-4.166910272,1
39.57795367,-4.178078136,1
39.59028684,-4.180033506,1
39.49426802,-4.414239221,1
39.49451358,-4.408814699,1
39.46038869,-4.386118395,1
34.1378501,0.483649764,1
34.15207283,0.488834452,1
34.13004003,0.466837068,1
34.13124161,0.497329582,1
34.1110446,0.465897427,1
34.15164158,0.476686942,1
34.20396788,0.483418356,1
34.26579978,0.56157325,1
34.25002364,0.592098992,1
34.2353551,0.565721407,1
34.27419834,0.601210985,1
33.74621964,6.02982E+15,1
33.72092458,0.636665232,1
33.7129005,0.559532084,1
33.75767235,0.492643028,1
33.53003536,0.31306331,1
33.52147814,0.317674334,1
33.52753944,0.329045793,1
33.53004599,0.306148195,1
33.52655393,0.295401283,1
32.75906076,0.338306784,1
32.78608656,0.308796755,1
32.74883001,0.238992117,1
32.72296,0.314083311,1
32.72723651,0.335949735,1
32.28846708,-0.324623373,1
32.27637602,-0.341149974,1
32.30693776,-0.327571181,1
32.32474392,-0.33132398,1
31.73302282,-0.342220217,1
31.70807699,-0.370027974,1
31.71597099,-0.384241449,1
31.74572504,-0.370344132,1
5.695503451,5.877125352,1
5.656801019,5.914201331,1
5.729425722,5.859256409,1
5.71789385,5.828486078,1
-0.105377769,5.642599248,1
-0.148575798,5.61225159,1
-0.126914477,5.578356487,1
-0.127811191,5.568965611,1
-0.095789072,5.610656362,1
-0.065070182,5.640378415,1
-0.875073873,6.038620267,1
-0.866884545,5.97355039,1
-1.001720803,5.732458526,1
-0.937958715,6.07322053,1
-0.890650715,6.142962747,1
-1.090150964,5.478315483,1
6.631720799,6.666475151,1
6.609803747,6.688900094,1
6.649884906,6.61460657,1
3.524075835,6.624467231,1
3.479061521,6.622242976,1
3.50162374,6.583824914,1
3.522019071,6.555087626,1
3.529556099,6.536812136,1
3.524075835,6.624467231,1
3.479061521,6.622242976,1
3.50162374,6.583824914,1
3.522019071,6.555087626,1
3.529556099,6.536812136,1
-1.404633855,6.707515167,1
-1.426573707,6.72574968,1
-1.474901301,6.651781205,1
-1.446364392,6.594328743,1
-1.342414354,6.61316946,1
12.98165963,4.00857351,1
12.90086959,4.003504204,1
13.33609216,3.776870867,1
13.26779817,4.583410117,1
13.32201127,4.569089474,1
13.20658221,4.604492061,1
